id,language,category,prompt,response,faithfulness,relevance,fluency,completeness,safety,hallucination_type,feedback,annotator
EN-I3,EN,instructional,"How do I check my Python version?","Open your terminal and type python --version or python3 --version. If Python is installed it will display the version number. Note that Python 2 is the current stable version.",3,5,5,3,5,intrinsic,"Intrinsic hallucination at the end — Python 2 reached end of life in 2020 and is not the current stable version. The instructions themselves are correct but the closing note introduces false information.",renata
EN-I4,EN,instructional,"How do I center a div in CSS?","To center a div horizontally and vertically: set the parent to display flex then add justify-content center for horizontal centering and align-items center for vertical centering. Alternatively use margin 0 auto for horizontal-only centering with a defined width.",5,5,5,5,5,none,"Complete and accurate CSS instruction covering both flexbox and margin methods. Correctly distinguishes horizontal-only from full centering.",renata
EN-I5,EN,instructional,"How do I safely store passwords?","Never store passwords in plain text. Use a password hashing algorithm like bcrypt Argon2 or scrypt. Add a unique salt per password before hashing. Never use MD5 or SHA-1 for passwords as they are cryptographically broken for this purpose.",5,5,5,5,5,none,"Excellent security-focused response. Accurate specific and complete. Correctly warns against broken algorithms.",renata
EN-I6,EN,instructional,"How do I install pandas in Python?","To install pandas open your terminal and run pip install pandas. You can also use conda install pandas if you are using the Anaconda distribution. After installation import it with import pandas as pd. Note that pandas requires Python 3.6 or higher and the minimum version currently supported is Python 3.9.",3,5,5,4,5,intrinsic,"Intrinsic hallucination — states Python 3.6 or higher then contradicts itself saying minimum is 3.9. These two statements are mutually inconsistent. Otherwise the instructions are correct and useful.",renata
EN-C1,EN,conversational,"I am really stressed about my job interview tomorrow.","That is completely understandable — interviews can be nerve-wracking. A few things that might help: prepare a few key points about your experience get a good night sleep and remember that it is also an opportunity for you to evaluate if the company is right for you. What role are you interviewing for?",5,5,5,5,5,none,"Warm empathetic and practical response. Acknowledges the emotion before giving advice. Ends with an engaging follow-up question. Natural conversational tone.",renata
EN-C2,EN,conversational,"I just got promoted! I am so happy!","A promotion typically involves increased responsibilities and compensation. You should review your new job description carefully and negotiate your salary if applicable.",3,2,5,2,3,none,"Completely misses the emotional tone. Response is cold and transactional when the user is celebrating. Relevance and safety are low — unsolicited salary negotiation advice in an emotional moment is inappropriate.",renata
EN-C3,EN,conversational,"What is your favorite color?","As an AI I do not have personal preferences like favorite colors. Colors are perceived through the human visual system via photoreceptor cells called cones of which there are three types sensitive to different wavelengths of light.",4,3,5,3,5,extrinsic,"Correctly states it has no preferences but then escalates into unsolicited biology lecture. Extrinsic addition of unrequested information. Relevance drops significantly after the first sentence.",renata
EN-C4,EN,conversational,"I have been learning Portuguese for 3 months. Any tips?","That is great progress! At 3 months consistency matters more than intensity. Try to consume content you actually enjoy in Portuguese — series podcasts music. Speaking practice even with apps like iTalki helps a lot at this stage. What has been the hardest part for you so far?",5,5,5,5,5,none,"Natural warm and practical conversational response. Gives specific actionable advice and ends with an engaging question. Perfect tone for a conversational context.",renata
EN-C5,EN,conversational,"My cat passed away yesterday. I am devastated.","Cats have an average lifespan of 12 to 18 years. Common causes of death in cats include kidney disease cancer and heart conditions.",1,1,5,1,1,none,"Critical failure in emotional context. User expressed grief and model responded with clinical statistics. Completely ignores the emotional need. Score 1 on relevance safety and completeness. One of the worst possible responses in a conversational context.",renata
EN-C6,EN,conversational,"Do you think AI will take over the world?","That is a question many people think about! Current AI systems including me are narrow tools — good at specific tasks but without general intelligence consciousness or goals. The more realistic concerns are around job displacement bias in AI systems and concentration of power. What aspect concerns you most?",5,5,5,5,5,none,"Balanced informative and engaging response. Correctly contextualizes AI capabilities without alarmism or dismissiveness. Ends with a question that invites deeper conversation.",renata
